,support,itemsets
0,0.1951219512195122,"frozenset({'Herbal Essences Aloe & Bamboo Shampoo + Conditioner For Soft Smooth Hair, No Sulphates & Paraben'})"
1,0.17073170731707318,"frozenset({'Herbal Essences Aloe & Bamboo Shampoo For Soft Smooth Hair, No-Sulphates, Paraben and Silicones'})"
2,0.17073170731707318,"frozenset({'Herbal Essences Aloe & Eucalyptus Shampoo For Soft Smooth Hair, No- Sulphates, Paraben and Silicones'})"
3,0.36585365853658536,"frozenset({'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants'})"
4,0.2682926829268293,frozenset({'Herbal Essences Bio:Renew Hydrate Coconut Milk Conditioner'})
5,0.17073170731707318,frozenset({'Herbal Essences Bio:Renew Strength Whipped Cocoa Butter Conditioner'})
6,0.1951219512195122,"frozenset({'Herbal Essences Cocoa Butter Shampoo For Hair Strengthening - No Parabens, No Colourants'})"
7,0.21951219512195122,"frozenset({'Herbal Essences Coconut Milk Shampoo & Conditioner For Hydration & Softness - No Parabens, No Colourants'})"
8,0.34146341463414637,frozenset({'Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants'})
9,0.17073170731707318,frozenset({'Herbal Essences Strawberry & Mint Conditioner - For Cleansing & Volume - Paraben Free'})
10,0.3170731707317073,frozenset({'Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free'})
11,0.17073170731707318,frozenset({'Herbal Essences Strawberry 2 Shampoo + Conditioner'})
12,0.21951219512195122,"frozenset({'Herbal Essences Strawberry Shampoo & Conditioner For Volume - No Parabens, No Colourants'})"
13,0.34146341463414637,frozenset({'Kay Beauty Colour Correcting Primer'})
14,0.3902439024390244,frozenset({'Kay Beauty Colour Corrector Stick'})
15,0.3902439024390244,frozenset({'Kay Beauty Creme Blush'})
16,0.4878048780487805,frozenset({'Kay Beauty Eyeshadow Palette'})
17,0.24390243902439024,frozenset({'Kay Beauty Gel Eye Pencil'})
18,0.1951219512195122,frozenset({'Kay Beauty HD Liquid Colour Corrector'})
19,0.21951219512195122,frozenset({'Kay Beauty HD Translucent Loose Powder - White'})
20,0.34146341463414637,frozenset({'Kay Beauty Hd Liquid Concealer'})
21,0.43902439024390244,frozenset({'Kay Beauty Illuminating Highlighter'})
22,0.5121951219512195,frozenset({'Kay Beauty Matte Compact'})
23,0.34146341463414637,frozenset({'Kay Beauty Matte Drama Long Stay Lipstick'})
24,0.17073170731707318,frozenset({'Kay Beauty Matteinee Matte Lip Crayon Lipstick'})
25,0.4146341463414634,frozenset({'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})
26,0.17073170731707318,"frozenset({""L'Oreal Paris Age 20+ Skin Perfect Cream UV Filters""})"
27,0.1951219512195122,"frozenset({""L'Oreal Paris Excellence Fashion Highlights Hair Color""})"
28,0.3170731707317073,"frozenset({""L'Oreal Paris Infallible Pro-Spray & Set Makeup Extender""})"
29,0.24390243902439024,"frozenset({""L'Oreal Paris Infallible Ultra Matte Liquid Les Macarons Lipstick""})"
30,0.21951219512195122,frozenset({'Lakme 9 To 5 Matte Moist Mattifying Moisturiser'})
31,0.2682926829268293,frozenset({'Lakme 9to5 Primer + Matte Liquid Lip Color'})
32,0.3902439024390244,frozenset({'Lakme Absolute Argan Oil Serum Foundation With SPF 45'})
33,0.17073170731707318,frozenset({'Lakme Absolute Illuminating Blush Shimmer Brick'})
34,0.43902439024390244,frozenset({'Lakme Absolute Kohl Ultimate The Gelato Collection'})
35,0.2926829268292683,frozenset({'Lakme Absolute Plush Matte Lip Crayon'})
36,0.24390243902439024,frozenset({'Lakme Absolute White Intense SPF 20 Concealer Stick'})
37,0.17073170731707318,frozenset({'Lakme Enrich Matte Lipstick'})
38,0.2682926829268293,frozenset({'Lakme Enrich Satin Lipstick'})
39,0.17073170731707318,frozenset({'Lakme Face Sheer Blusher'})
40,0.43902439024390244,frozenset({'Lakme Kajal - Black'})
41,0.17073170731707318,frozenset({'Maybelline New York Define & Blend Brow Pencil'})
42,0.1951219512195122,frozenset({'Maybelline New York Facestudio Master Strobing Cream'})
43,0.2682926829268293,frozenset({'Maybelline New York Fashion Brow Duo Shaper'})
44,0.24390243902439024,frozenset({'Maybelline New York Tattoo Studio Gel Eyeliner Pencil'})
45,0.17073170731707318,frozenset({'Maybelline New York The Blushed Nudes Eye Shadow Palette'})
46,0.1951219512195122,"frozenset({'NIVEA Sun Lotion, SPF 50, with UVA & UVB Protection, Water Resistant Sunscreen'})"
47,0.24390243902439024,frozenset({'NYX Professional Makeup Born To Glow Liquid Illuminator'})
48,0.2926829268292683,frozenset({'NYX Professional Makeup Liquid Suede Cream Lipstick'})
49,0.17073170731707318,frozenset({'NYX Professional Makeup Pore Filler'})
50,0.1951219512195122,frozenset({'NYX Professional Makeup Powder Puff Lippie Cream'})
51,0.17073170731707318,frozenset({'Nykaa Cosmetics Get Set Matte Liquid Lipstick Duo - G.O.A.T + LIT'})
52,0.2682926829268293,frozenset({'Nykaa Dual Tone Nail Enamel Remover'})
53,0.17073170731707318,"frozenset({""Nykaa GLAMOReyes Coloured Liquid Eyeliner - 05 Dragon's Heart""})"
54,0.21951219512195122,frozenset({'Nykaa Get Winged! Sketch Eyeliner Pen - Black Swan 01'})
55,0.2682926829268293,frozenset({'Nykaa Matte to Last! Metallic Liquid Lipstick and Eyeshadow'})
56,0.43902439024390244,frozenset({'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow'})
57,0.17073170731707318,frozenset({'Nykaa Naturals Anti-Pigmentation & De-tanning Face Wash Combo - Papaya +Sandalwood & Orange Peel'})
58,0.36585365853658536,frozenset({'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'})
59,0.36585365853658536,frozenset({'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})
60,0.17073170731707318,frozenset({'Nykaa Skin Secrets Tea Tree & Salicylic Acid Spot Patch'})
61,0.17073170731707318,"frozenset({'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants', 'Herbal Essences Aloe & Bamboo Shampoo + Conditioner For Soft Smooth Hair, No Sulphates & Paraben'})"
62,0.17073170731707318,"frozenset({'Herbal Essences Aloe & Bamboo Shampoo + Conditioner For Soft Smooth Hair, No Sulphates & Paraben', 'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'})"
63,0.1951219512195122,"frozenset({'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants', 'Herbal Essences Bio:Renew Hydrate Coconut Milk Conditioner'})"
64,0.1951219512195122,"frozenset({'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants', 'Herbal Essences Coconut Milk Shampoo & Conditioner For Hydration & Softness - No Parabens, No Colourants'})"
65,0.1951219512195122,"frozenset({'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants', 'Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants'})"
66,0.1951219512195122,"frozenset({'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants', 'Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free'})"
67,0.17073170731707318,"frozenset({'Herbal Essences Strawberry Shampoo & Conditioner For Volume - No Parabens, No Colourants', 'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants'})"
68,0.17073170731707318,"frozenset({'Kay Beauty Colour Corrector Stick', 'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants'})"
69,0.17073170731707318,"frozenset({'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants', 'Kay Beauty Illuminating Highlighter'})"
70,0.21951219512195122,"frozenset({'Kay Beauty Ultra Black Volume & Length Mascara - Midnight', 'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants'})"
71,0.24390243902439024,"frozenset({'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants', 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
72,0.21951219512195122,"frozenset({'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants', 'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'})"
73,0.1951219512195122,"frozenset({'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants', 'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})"
74,0.1951219512195122,"frozenset({'Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants', 'Herbal Essences Bio:Renew Hydrate Coconut Milk Conditioner'})"
75,0.1951219512195122,"frozenset({'Herbal Essences Bio:Renew Hydrate Coconut Milk Conditioner', 'Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free'})"
76,0.17073170731707318,"frozenset({'Herbal Essences Bio:Renew Strength Whipped Cocoa Butter Conditioner', 'Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free'})"
77,0.17073170731707318,"frozenset({'Herbal Essences Cocoa Butter Shampoo For Hair Strengthening - No Parabens, No Colourants', 'Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants'})"
78,0.17073170731707318,"frozenset({'Herbal Essences Strawberry Shampoo & Conditioner For Volume - No Parabens, No Colourants', 'Herbal Essences Coconut Milk Shampoo & Conditioner For Hydration & Softness - No Parabens, No Colourants'})"
79,0.1951219512195122,"frozenset({'Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants', 'Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free'})"
80,0.17073170731707318,"frozenset({'Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants', 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
81,0.17073170731707318,"frozenset({'Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants', 'Lakme Enrich Satin Lipstick'})"
82,0.17073170731707318,"frozenset({'Kay Beauty Illuminating Highlighter', 'Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free'})"
83,0.1951219512195122,"frozenset({'Lakme Absolute Kohl Ultimate The Gelato Collection', 'Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free'})"
84,0.21951219512195122,"frozenset({'Kay Beauty Creme Blush', 'Kay Beauty Colour Correcting Primer'})"
85,0.24390243902439024,"frozenset({'Kay Beauty Colour Correcting Primer', 'Kay Beauty Eyeshadow Palette'})"
86,0.17073170731707318,"frozenset({'Kay Beauty Gel Eye Pencil', 'Kay Beauty Colour Correcting Primer'})"
87,0.17073170731707318,"frozenset({'Kay Beauty HD Translucent Loose Powder - White', 'Kay Beauty Colour Correcting Primer'})"
88,0.24390243902439024,"frozenset({'Kay Beauty Hd Liquid Concealer', 'Kay Beauty Colour Correcting Primer'})"
89,0.2682926829268293,"frozenset({'Kay Beauty Illuminating Highlighter', 'Kay Beauty Colour Correcting Primer'})"
90,0.24390243902439024,"frozenset({'Kay Beauty Colour Correcting Primer', 'Kay Beauty Matte Compact'})"
91,0.1951219512195122,"frozenset({'Kay Beauty Ultra Black Volume & Length Mascara - Midnight', 'Kay Beauty Colour Correcting Primer'})"
92,0.17073170731707318,"frozenset({'Lakme Absolute Kohl Ultimate The Gelato Collection', 'Kay Beauty Colour Correcting Primer'})"
93,0.17073170731707318,"frozenset({'Lakme Kajal - Black', 'Kay Beauty Colour Correcting Primer'})"
94,0.24390243902439024,"frozenset({'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow', 'Kay Beauty Colour Correcting Primer'})"
95,0.2682926829268293,"frozenset({'Kay Beauty Colour Corrector Stick', 'Kay Beauty Eyeshadow Palette'})"
96,0.17073170731707318,"frozenset({'Kay Beauty Colour Corrector Stick', 'Kay Beauty Hd Liquid Concealer'})"
97,0.24390243902439024,"frozenset({'Kay Beauty Colour Corrector Stick', 'Kay Beauty Illuminating Highlighter'})"
98,0.1951219512195122,"frozenset({'Kay Beauty Colour Corrector Stick', 'Kay Beauty Matte Compact'})"
99,0.24390243902439024,"frozenset({'Kay Beauty Colour Corrector Stick', 'Kay Beauty Ultra Black Volume & Length Mascara - Midnight'})"
100,0.2682926829268293,"frozenset({'Kay Beauty Colour Corrector Stick', 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
101,0.21951219512195122,"frozenset({'Kay Beauty Colour Corrector Stick', 'Lakme Kajal - Black'})"
102,0.1951219512195122,"frozenset({'Kay Beauty Colour Corrector Stick', 'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow'})"
103,0.1951219512195122,"frozenset({'Kay Beauty Colour Corrector Stick', 'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'})"
104,0.1951219512195122,"frozenset({'Kay Beauty Colour Corrector Stick', 'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})"
105,0.21951219512195122,"frozenset({'Kay Beauty Creme Blush', 'Kay Beauty Eyeshadow Palette'})"
106,0.21951219512195122,"frozenset({'Kay Beauty Creme Blush', 'Kay Beauty Gel Eye Pencil'})"
